id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status
416258,VIVE LUXE VAN ACCESSIBLE,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.82794,-117.142271,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:59Z,2025-07-16,GPS
416252,VIVE LUXE 108,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828021,-117.142332,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:58Z,2025-07-16,GPS
39932,Mossy Nissan - Kearny Mesa,Non-Networked,San Diego,CA,92111,8118 Clairemont Mesa Blvd,32.833179,-117.147384,"CHADEMO,J1772",1.0,,1.0,Free,Dealership business hours,public,2024-02-12,2025-02-12T00:16:32Z,2011-03-15,200-9
235387,PF CA Kaiser,POWERFLEX,San Diego,CA,92123,3840 Murphy Canyon Rd,32.81229,-117.11747,J1772,,,10.0,,24 hours daily,public,2025-05-12,2025-05-12T16:15:59Z,2022-08-31,200-8
331089,Stonecrest Plaza,eVgo Network,San Diego,CA,92123,3737 Murphy Canyon Rd,32.80931,-117.11518,J1772COMBO,6.0,,,,24 hours daily,public,2025-11-08,2025-11-08T00:01:02Z,2024-03-23,GPS
405754,PriceSmart,Blink Network,San Diego,CA,92123,9797 Aero Drive,32.80872269190281,-117.1181836308283,J1772,,,10.0,,24 hours daily,public,2025-11-08,2025-11-08T00:19:16Z,2022-06-22,GPS
207450,FBO STATION ONE FBO STATION1,ChargePoint Network,San Diego,CA,92123,3794 John J Montgomery Dr,32.813199,-117.141994,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T02:03:56Z,2022-03-02,GPS
195935,NBC Universal,Blink Network,San Diego,CA,92123,9680 Granite Ridge Drive,32.807301,-117.11998,J1772,,,2.0,Free,24 hours daily,public,2025-11-08,2025-11-08T00:10:58Z,2021-09-15,GPS
152513,"Walmart 2177 - San Diego, CA",Electrify America,San Diego,CA,92123,3382 Murphy Canyon Rd.,32.8046,-117.11514,"J1772,J1772COMBO",3.0,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:47:21Z,2020-01-17,GPS
149402,North City Campus,Blink Network,San Diego,CA,92123,8401 Aero Dr.,32.8086349,-117.145866,J1772,,,4.0,Free,24 hours daily,public,2025-11-08,2025-11-08T00:24:18Z,2019-11-22,GPS
