Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Connector Types,Access Code,Facility Type,Total_Chargers,Has_Level1,Has_Level2,Has_DC_Fast,ZIP_int,zip_code_int,county_name,electricity_rate_per_kwh,rate_tier
"LODI, CA EV CITY HALL 1",221 W Pine St,Lodi,CA,95240,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,95240,,Sacramento,0.3869,Medium
"LODI, CA EV CITY HALL 2",221 W Pine St,Lodi,CA,95240,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,95240,,Sacramento,0.3869,Medium
Town of Colma,1198 El Camino,Colma,CA,94014,0.0,0.0,2.0,eVgo Network,CHADEMO J1772COMBO,public,,2.0,False,False,True,94014,,San Francisco,0.4597,High
Broadstone Axis,2820 Broadway,Oakland,CA,94611,0.0,1.0,0.0,AMPUP,J1772,public,MULTI_UNIT_DWELLING,1.0,False,True,False,94611,,San Francisco,0.4597,High
1000 Green St Apartments,1000 Green St,San Francisco,CA,94133,0.0,2.0,0.0,AMPUP,J1772,public,MULTI_UNIT_DWELLING,2.0,False,True,False,94133,,San Francisco,0.4597,High
190 Walnut Ave Santa Cruz,190 Walnut Ave,Santa Cruz,CA,95060,0.0,6.0,0.0,AMPUP,J1772,public,MULTI_UNIT_DWELLING,6.0,False,True,False,95060,,Sacramento,0.3869,Medium
Manteca High School District,2271 W Louise Ave,Manteca,CA,95337,0.0,8.0,0.0,AMPUP,J1772,public,SCHOOL,8.0,False,True,False,95337,,Sacramento,0.3869,Medium
Lincoln Property - Wilshire Rodeo,9536 Wilshire Blvd,Beverly Hills,CA,90212,0.0,8.0,0.0,AMPUP,J1772,public,PARKING_GARAGE,8.0,False,True,False,90212,,Los Angeles,0.3,Low
Hollywood Versailles Tower,7135 Hollywood Blvd,West Hollywood,CA,90046,0.0,39.0,0.0,AMPUP,J1772,public,MULTI_UNIT_DWELLING,39.0,False,True,False,90046,90046,Los Angeles,0.3,Low
Curacao,1605 W Olympic Blvd,Los Angeles,CA,90015,0.0,40.0,0.0,AMPUP,J1772,public,SHOPPING_MALL,40.0,False,True,False,90015,90015,Los Angeles,0.3,Low
Airport Center,5959 W Century Blvd,Los Angeles,CA,90045,0.0,40.0,0.0,AMPUP,J1772,public,AIRPORT,40.0,False,True,False,90045,90045,Los Angeles,0.3,Low
Joe's Parking,6144 W 98th St,Los Angeles,CA,90045,0.0,40.0,0.0,AMPUP,J1772,public,PARKING_GARAGE,40.0,False,True,False,90045,90045,Los Angeles,0.3,Low
PH&EV Research Center,1605 Tilia St,Davis,CA,95616,0.0,2.0,0.0,AMPUP,J1772,public,RESEARCH_FACILITY,2.0,False,True,False,95616,95616,Sacramento,0.3869,Medium
One Hundred Towers,2049 Century Park E Century Plaza Towers,Los Angeles,CA,99067,0.0,1.0,0.0,AMPUP,J1772,public,OFFICE_BLDG,1.0,False,True,False,99067,,Sacramento,0.3869,Medium
RSMC-Level 2,25500 Medical Center Dr,Murrieta,CA,92562,0.0,10.0,0.0,AMPUP,J1772,public,HOSPITAL,10.0,False,True,False,92562,,Orange,0.3869,Medium
